dominant_regime,distance_to_oxygen_3d,frac_damage_before_nonreturn,frac_no_transition,frac_nonreturn_before_damage
damage-before-nonreturn,5.1285532793959,0.45789173789173787,0.2676923076923077,0.15156695156695157
no-transition,4.295648127829958,0.2644444444444444,0.5155555555555555,0.10555555555555556
nonreturn-before-damage,5.4042450204125245,0.08646464646464647,0.2336969696969697,0.6172929292929293
