element,distance_to_oxygen_3d,dominant_regime,frac_damage_before_nonreturn,frac_no_transition,frac_nonreturn_before_damage,erc_rank
Be,5.870054420117603,no-transition,0.38222222222222224,0.4488888888888889,0.03111111111111111,35
Np,5.905916893589176,nonreturn-before-damage,0.06222222222222222,0.2222222222222222,0.6755555555555556,88
Mg,5.926704119072616,no-transition,0.3377777777777778,0.35555555555555557,0.18222222222222223,45
Eu,5.955166954752001,nonreturn-before-damage,0.057777777777777775,0.15555555555555556,0.7155555555555555,90
Y,5.995463611019608,nonreturn-before-damage,0.02666666666666667,0.22666666666666666,0.7155555555555555,99
Ce,6.043455675156868,nonreturn-before-damage,0.1511111111111111,0.14666666666666667,0.5822222222222222,70
Th,6.059624900319253,nonreturn-before-damage,0.0,0.18222222222222223,0.7955555555555556,118
Pu,6.123831313018945,nonreturn-before-damage,0.07555555555555556,0.2,0.6622222222222223,84
Dy,6.167680816746855,nonreturn-before-damage,0.013333333333333334,0.15555555555555556,0.7955555555555556,107
Ho,6.191870335109583,nonreturn-before-damage,0.14222222222222222,0.13333333333333333,0.6533333333333333,72
Rf,6.21576490529759,nonreturn-before-damage,0.0,0.2,0.7733333333333333,116
Gd,6.221692772449512,nonreturn-before-damage,0.03111111111111111,0.14666666666666667,0.7777777777777778,97
Er,6.228632416249681,nonreturn-before-damage,0.12444444444444444,0.14222222222222222,0.6311111111111111,75
Lu,6.258105516530514,nonreturn-before-damage,0.08,0.14222222222222222,0.7111111111111111,82
Cm,6.307082633235611,nonreturn-before-damage,0.013333333333333334,0.15555555555555556,0.7955555555555556,108
La,6.356768638228978,nonreturn-before-damage,0.03111111111111111,0.23555555555555555,0.7155555555555555,98
Sm,6.369115616793792,nonreturn-before-damage,0.017777777777777778,0.1688888888888889,0.7466666666666667,106
Pm,6.447531314861134,nonreturn-before-damage,0.0044444444444444444,0.18222222222222223,0.7644444444444445,111
Bk,6.457438404702762,damage-before-nonreturn,0.5377777777777778,0.12,0.2222222222222222,7
Cf,6.475094714586116,damage-before-nonreturn,0.5155555555555555,0.12,0.23555555555555555,9
Ca,6.480791220159716,nonreturn-before-damage,0.27111111111111114,0.3022222222222222,0.3111111111111111,56
Fm,6.488454422823838,damage-before-nonreturn,0.5822222222222222,0.1111111111111111,0.18222222222222223,2
Es,6.496996567271379,damage-before-nonreturn,0.5911111111111111,0.1111111111111111,0.1688888888888889,1
Li,6.4996964754854805,no-transition,0.4311111111111111,0.43555555555555553,0.0,26
Tb,6.502541445053609,nonreturn-before-damage,0.013333333333333334,0.15555555555555556,0.7955555555555556,109
No,6.513702669153839,nonreturn-before-damage,0.10222222222222223,0.1511111111111111,0.6622222222222223,77
Md,6.515711830703178,nonreturn-before-damage,0.3288888888888889,0.13333333333333333,0.39555555555555555,48
Na,6.54414920291317,damage-before-nonreturn,0.49777777777777776,0.36444444444444446,0.0,13
Am,6.561850135739233,damage-before-nonreturn,0.5111111111111111,0.11555555555555555,0.25333333333333335,10
