element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank
Es,0.1733106051327783,0.7252376743590081,damage-before-nonreturn,0.5911111111111111,0.10666666666666667,0.1688888888888889,0.022222222222222223,0.1111111111111111,2.17295,2.1392045454545454,23.350104832360078,4.174783577732516,1
Fm,0.1814571930727517,0.7230286827982138,damage-before-nonreturn,0.5822222222222222,0.10666666666666667,0.18222222222222223,0.017777777777777778,0.1111111111111111,2.18635,2.1400568181818183,22.95861841445226,4.143833668782061,2
Cd,0.7969019406817291,1.6770134203459566,damage-before-nonreturn,0.5644444444444444,0.13333333333333333,0.0044444444444444444,0.013333333333333334,0.28444444444444444,2.536583850931677,2.5170992366412213,9.006471040401653,3.0499617571819,3
Fl,0.8007343324809743,1.805404310691917,damage-before-nonreturn,0.5555555555555556,0.16,0.0,0.0,0.28444444444444444,2.5401242236024846,2.5441599999999998,8.964789501372747,3.0465598454800076,4
Hs,0.7597368234057191,1.5875750993709985,damage-before-nonreturn,0.5555555555555556,0.12444444444444444,0.02666666666666667,0.017777777777777778,0.27555555555555555,2.520429447852761,2.496074074074074,9.425439912105388,3.0840373183757896,5
Ds,0.8006941184832189,1.6147453208763505,damage-before-nonreturn,0.5511111111111111,0.11555555555555555,0.035555555555555556,0.013333333333333334,0.28444444444444444,2.5400621118012423,2.519111111111111,8.96522542309339,3.046595439304136,6
Bk,0.2124228467617968,0.7365737296107686,damage-before-nonreturn,0.5377777777777778,0.10666666666666667,0.2222222222222222,0.013333333333333334,0.12,2.2145959595959597,2.1364942528735633,21.572941449423443,4.034861383957459,7
Ts,0.9387215095384126,1.855577325226162,damage-before-nonreturn,0.5333333333333333,0.1288888888888889,0.0,0.013333333333333334,0.3244444444444444,2.570263157894737,2.570325203252033,7.6298200909731895,2.9362502494145786,8
Cf,0.22424774787717,0.7420178600953669,damage-before-nonreturn,0.5155555555555555,0.10666666666666667,0.23555555555555555,0.022222222222222223,0.12,2.233030303030303,2.1436206896551724,21.082255786397482,3.9964601321515936,9
Am,0.1877711513206846,0.6822031864441308,damage-before-nonreturn,0.5111111111111111,0.09333333333333334,0.25333333333333335,0.02666666666666667,0.11555555555555555,2.1859798994974873,2.125056179775281,22.663335680247304,4.120538765241396,10
Nh,0.753916854226822,1.4746625611390876,damage-before-nonreturn,0.5111111111111111,0.09777777777777778,0.08888888888888889,0.03111111111111111,0.27111111111111114,2.522317073170732,2.4825352112676056,9.493561827192424,3.089559094160567,11
Ru,0.5919431752514951,1.2537337187034927,damage-before-nonreturn,0.5022222222222222,0.08888888888888889,0.13777777777777778,0.02666666666666667,0.24444444444444444,2.422,2.3822666666666668,11.717529635881185,3.267411039651101,12
Na,1.1493932407313536,2.101762113843582,damage-before-nonreturn,0.49777777777777776,0.13777777777777778,0.0,0.0,0.36444444444444446,2.6595804195804194,2.6350000000000002,6.074253808703648,2.8035286155345642,13
Ge,0.8226261126167784,1.5751188446974425,damage-before-nonreturn,0.49777777777777776,0.1111111111111111,0.06222222222222222,0.04,0.28888888888888886,2.5491875,2.4962962962962965,8.731903733486568,3.027510674641158,14
Rb,0.7835868675390059,1.4878638663699175,damage-before-nonreturn,0.49777777777777776,0.09777777777777778,0.10666666666666667,0.017777777777777778,0.28,2.532098765432099,2.4800714285714287,9.15345658222862,3.061940268823832,15
Mt,0.8877444953347141,1.6435785003947,damage-before-nonreturn,0.49333333333333335,0.1111111111111111,0.07111111111111111,0.017777777777777778,0.30666666666666664,2.569038461538462,2.5074809160305347,8.087980847805275,2.974430259769814,16
Tl,0.990027848262822,1.7782709787871696,damage-before-nonreturn,0.4888888888888889,0.1111111111111111,0.04888888888888889,0.017777777777777778,0.3333333333333333,2.5962666666666667,2.55144,7.204775967553052,2.9004700069530984,17
Cn,0.9661485879291848,1.7295371512573798,damage-before-nonreturn,0.48,0.10666666666666667,0.057777777777777775,0.02666666666666667,0.3288888888888889,2.5834437086092716,2.5340944881889764,7.398349203332008,2.9168116510024427,18
Se,1.071825739281746,1.86010961359918,damage-before-nonreturn,0.47555555555555556,0.11555555555555555,0.04888888888888889,0.017777777777777778,0.3422222222222222,2.6434459459459463,2.577049180327869,6.592057207893731,2.84826079207542,19
Lr,0.2575413749666354,0.7680749269873915,damage-before-nonreturn,0.4711111111111111,0.09777777777777778,0.2577777777777778,0.04,0.13333333333333333,2.25548717948718,2.16242774566474,19.799194973697894,3.896416314608233,20
Rh,0.593108185350722,1.2188976961393907,damage-before-nonreturn,0.4666666666666667,0.08444444444444445,0.17333333333333334,0.03111111111111111,0.24444444444444444,2.423294117647059,2.368675496688742,11.698913463582464,3.2659378392755674,21
Ba,0.6839259743146582,1.3114035116575091,damage-before-nonreturn,0.4444444444444444,0.08444444444444445,0.19111111111111112,0.022222222222222223,0.2577777777777778,2.481796407185629,2.4174324324324328,10.37176924452068,3.1602948304014453,22
Nb,0.6034442266901304,1.2067273853315583,damage-before-nonreturn,0.43555555555555553,0.08444444444444445,0.21333333333333335,0.022222222222222223,0.24444444444444444,2.4330588235294117,2.362052980132451,11.535650368088984,3.253009435444798,23
K,1.029151627230818,1.7571648759029226,damage-before-nonreturn,0.4311111111111111,0.10222222222222223,0.09333333333333334,0.03111111111111111,0.3422222222222222,2.6076351351351357,2.5428,6.902435594567804,2.874800715851518,24
I,1.4412894051891445,2.2746773751288365,no-transition,0.4311111111111111,0.09777777777777778,0.013333333333333334,0.017777777777777778,0.44,2.7254761904761904,2.6839423076923077,4.543181924818463,2.6670955652341632,25
Li,1.42501273889131,2.5376031385797115,no-transition,0.4311111111111111,0.13333333333333333,0.0,0.0,0.43555555555555553,2.7260629921259847,2.7609278350515463,4.614561343960144,2.6736203312756657,26
Ir,0.6626333290848323,1.269722966298945,damage-before-nonreturn,0.4222222222222222,0.08888888888888889,0.2088888888888889,0.02666666666666667,0.25333333333333335,2.4717261904761907,2.3872972972972977,10.662337224760098,3.1835415261378164,27
